game_date,pitcher,player_name,p_throws,batter,stand,pitch_type,release_speed,description,events,estimated_woba_using_speedangle,inning,at_bat_number,pitch_number,zone
2026-03-27,607536,"Freeland, Kyle",L,596103,R,FF,92.5,hit_into_play,field_out,0.274,1,4,1,6
2026-03-27,607536,"Freeland, Kyle",L,682663,R,FF,92.3,ball,,,1,5,1,14
2026-03-27,607536,"Freeland, Kyle",L,682663,R,KC,83.0,swinging_strike,,,1,5,2,5
2026-03-27,607536,"Freeland, Kyle",L,682663,R,CH,87.8,ball,,,1,5,3,14
2026-03-27,607536,"Freeland, Kyle",L,682663,R,FC,88.8,ball,,,1,5,4,12
2026-03-27,607536,"Freeland, Kyle",L,682663,R,FF,93.3,foul,,,1,5,5,8
2026-03-27,607536,"Freeland, Kyle",L,682663,R,FF,93.1,foul,,,1,5,6,6
2026-03-27,607536,"Freeland, Kyle",L,682663,R,KC,84.0,ball,walk,0.699952,1,5,7,14
2026-03-27,607536,"Freeland, Kyle",L,805300,L,ST,83.0,hit_into_play,field_out,0.005,1,6,1,6
2026-03-27,607536,"Freeland, Kyle",L,672640,R,FF,93.6,ball,,,1,7,1,13
2026-03-27,607536,"Freeland, Kyle",L,672640,R,ST,82.8,called_strike,,,1,7,2,6
2026-03-27,607536,"Freeland, Kyle",L,672640,R,FC,88.5,ball,,,1,7,3,12
2026-03-27,607536,"Freeland, Kyle",L,672640,R,KC,83.0,blocked_ball,,,1,7,4,13
2026-03-27,607536,"Freeland, Kyle",L,672640,R,FF,93.2,ball,walk,0.699952,1,7,5,11
2026-03-27,607536,"Freeland, Kyle",L,681393,R,FF,93.7,called_strike,,,1,8,1,6
2026-03-27,607536,"Freeland, Kyle",L,681393,R,FC,88.9,ball,,,1,8,2,12
2026-03-27,607536,"Freeland, Kyle",L,681393,R,FF,93.5,hit_into_play,field_out,1.034,1,8,3,5
2026-03-27,607536,"Freeland, Kyle",L,681715,R,KC,83.1,called_strike,,,2,12,1,6
2026-03-27,607536,"Freeland, Kyle",L,681715,R,KC,84.5,swinging_strike,,,2,12,2,7
2026-03-27,607536,"Freeland, Kyle",L,681715,R,ST,84.8,hit_into_play,field_out,0.062,2,12,3,8
2026-03-27,607536,"Freeland, Kyle",L,669364,R,FF,92.9,called_strike,,,2,13,1,5
2026-03-27,607536,"Freeland, Kyle",L,669364,R,FF,93.3,hit_into_play,single,0.482,2,13,2,2
2026-03-27,607536,"Freeland, Kyle",L,683357,L,SI,93.9,ball,,,2,14,1,14
2026-03-27,607536,"Freeland, Kyle",L,683357,L,KC,83.5,called_strike,,,2,14,2,13
2026-03-27,607536,"Freeland, Kyle",L,683357,L,KC,83.7,swinging_strike_blocked,,,2,14,3,13
2026-03-27,607536,"Freeland, Kyle",L,683357,L,KC,84.5,hit_into_play,double,0.563,2,14,4,8
2026-03-27,607536,"Freeland, Kyle",L,691594,R,FC,88.6,foul,,,2,15,1,2
2026-03-27,607536,"Freeland, Kyle",L,691594,R,CH,88.6,foul,,,2,15,2,5
2026-03-27,607536,"Freeland, Kyle",L,691594,R,KC,83.9,blocked_ball,,,2,15,3,13
2026-03-27,607536,"Freeland, Kyle",L,691594,R,FF,92.3,foul,,,2,15,4,13
2026-03-27,607536,"Freeland, Kyle",L,691594,R,KC,83.5,hit_into_play,single,0.479,2,15,5,6
2026-03-27,607536,"Freeland, Kyle",L,596103,R,ST,82.8,called_strike,,,2,16,1,5
2026-03-27,607536,"Freeland, Kyle",L,596103,R,FF,92.2,swinging_strike,,,2,16,2,12
2026-03-27,607536,"Freeland, Kyle",L,596103,R,FF,92.5,hit_into_play,field_out,0.014,2,16,3,11
2026-03-27,607536,"Freeland, Kyle",L,682663,R,KC,83.2,hit_into_play,field_out,0.168,2,17,1,13
2026-03-27,607536,"Freeland, Kyle",L,805300,L,FF,91.0,ball,,,3,21,1,11
2026-03-27,607536,"Freeland, Kyle",L,805300,L,FF,91.7,hit_into_play,double,0.712,3,21,2,8
2026-03-27,607536,"Freeland, Kyle",L,672640,R,KC,81.9,ball,,,3,22,1,12
2026-03-27,607536,"Freeland, Kyle",L,672640,R,KC,82.5,ball,,,3,22,2,12
2026-03-27,607536,"Freeland, Kyle",L,672640,R,KC,82.3,ball,,,3,22,3,13
2026-03-27,607536,"Freeland, Kyle",L,672640,R,FF,92.3,called_strike,,,3,22,4,2
