stand,count_group,runners_group,pitch_type,n,usage_pct,avg_velo,avg_pfx_x,avg_pfx_z,xwoba,zone_top2
L,ALL,ALL,CH,110,25.4,85.3,-0.37,0.48,0.122,"13,14"
L,ALL,ALL,CU,45,10.4,79.8,0.64,-0.63,0.254,"14,5"
L,ALL,ALL,FF,137,31.6,94.6,-0.35,1.02,0.405,"11,4"
L,ALL,ALL,SI,18,4.2,93.6,-0.97,0.66,0.349,"14,1"
L,ALL,ALL,SL,108,24.9,89.6,0.37,0.43,0.508,"12,14"
L,ALL,ALL,ST,15,3.5,82.7,1.03,-0.12,0.788,"14,9"
L,2K,ALL,CH,48,41.7,85.9,-0.37,0.48,0.108,"11,13"
L,2K,ALL,CU,15,13.0,80.5,0.61,-0.71,0.218,"14,13"
L,2K,ALL,FF,33,28.7,95.8,-0.43,1.07,0.347,"11,5"
L,2K,ALL,SI,3,2.6,94.9,-0.98,0.86,0.226,"5,9"
L,2K,ALL,SL,11,9.6,90.0,0.38,0.35,0.572,"14,12"
L,2K,ALL,ST,5,4.4,82.4,1.16,-0.27,0.537,"14,1"
L,AHEAD,ALL,CH,48,39.0,85.4,-0.38,0.46,0.124,"13,14"
L,AHEAD,ALL,CU,13,10.6,80.2,0.65,-0.68,,"14,1"
L,AHEAD,ALL,FF,29,23.6,95.4,-0.4,1.05,0.185,"11,5"
L,AHEAD,ALL,SI,5,4.1,93.8,-1.04,0.61,0.073,"5,7"
L,AHEAD,ALL,SL,24,19.5,89.8,0.36,0.5,0.441,"12,14"
L,AHEAD,ALL,ST,4,3.2,81.9,1.08,-0.25,1.187,"13,6"
L,BEHIND,ALL,CH,17,15.2,84.7,-0.29,0.5,0.336,"8,11"
L,BEHIND,ALL,CU,6,5.4,79.2,0.59,-0.56,0.072,"6,11"
L,BEHIND,ALL,FF,34,30.3,94.4,-0.33,0.96,0.491,"2,14"
L,BEHIND,ALL,SI,8,7.1,93.4,-0.99,0.62,0.62,"1,14"
L,BEHIND,ALL,SL,43,38.4,89.7,0.35,0.41,0.34,"14,12"
L,BEHIND,ALL,ST,4,3.6,83.0,1.1,0.02,0.7,"9,1"
L,ALL,ON,CH,49,35.0,85.5,-0.34,0.48,0.178,"14,11"
L,ALL,ON,CU,15,10.7,79.6,0.66,-0.68,0.3,"14,5"
L,ALL,ON,FF,31,22.2,95.2,-0.34,1.0,0.72,"4,2"
L,ALL,ON,SI,2,1.4,93.4,-1.06,0.84,,"12,14"
L,ALL,ON,SL,36,25.7,89.4,0.37,0.4,0.616,"11,12"
L,ALL,ON,ST,7,5.0,81.9,1.04,-0.2,0.458,"14,3"
L,ALL,EMPTY,CH,61,20.8,85.2,-0.39,0.47,0.09,"13,5"
L,ALL,EMPTY,CU,30,10.2,79.8,0.62,-0.61,0.231,"14,5"
L,ALL,EMPTY,FF,106,36.2,94.4,-0.35,1.02,0.314,"11,5"
L,ALL,EMPTY,SI,16,5.5,93.6,-0.96,0.64,0.349,"1,5"
L,ALL,EMPTY,SL,72,24.6,89.7,0.37,0.45,0.446,"12,14"
L,ALL,EMPTY,ST,8,2.7,83.4,1.03,-0.06,1.009,"9,1"
R,ALL,ALL,CH,29,6.1,85.3,-0.38,0.53,0.365,"14,11"
R,ALL,ALL,CU,28,5.8,79.2,0.71,-0.7,0.538,"14,12"
R,ALL,ALL,FF,101,21.1,94.9,-0.31,1.02,0.443,"11,14"
R,ALL,ALL,SI,103,21.5,94.4,-0.98,0.65,0.325,"11,14"
R,ALL,ALL,SL,129,26.9,88.8,0.41,0.42,0.261,"14,11"
R,ALL,ALL,ST,89,18.6,82.6,1.07,-0.17,0.256,"14,6"
R,2K,ALL,CH,13,10.2,85.4,-0.36,0.57,0.282,"14,11"
R,2K,ALL,CU,8,6.2,79.2,0.71,-0.76,0.155,"14,6"
R,2K,ALL,FF,31,24.2,95.5,-0.32,1.0,0.394,"11,12"
R,2K,ALL,SI,23,18.0,95.0,-1.05,0.67,0.268,"9,11"
R,2K,ALL,SL,17,13.3,89.1,0.39,0.37,0.287,"14,6"
R,2K,ALL,ST,36,28.1,82.7,1.13,-0.23,0.185,"14,6"
R,AHEAD,ALL,CH,9,7.5,85.3,-0.4,0.53,0.326,"14,5"
R,AHEAD,ALL,CU,10,8.3,78.9,0.7,-0.71,0.155,"14,6"
R,AHEAD,ALL,FF,22,18.3,95.5,-0.37,0.98,0.286,"12,11"
R,AHEAD,ALL,SI,17,14.2,94.5,-0.95,0.62,0.199,"14,4"
R,AHEAD,ALL,SL,24,20.0,89.0,0.43,0.48,0.182,"14,1"
R,AHEAD,ALL,ST,38,31.7,82.6,1.12,-0.23,0.325,"14,6"
R,BEHIND,ALL,CH,10,6.8,85.6,-0.38,0.53,0.78,"14,4"
R,BEHIND,ALL,CU,3,2.0,80.5,0.71,-0.72,1.646,"4,8"
R,BEHIND,ALL,FF,35,23.8,94.7,-0.25,1.02,0.538,"5,11"
R,BEHIND,ALL,SI,43,29.3,94.4,-1.05,0.68,0.441,"11,4"
R,BEHIND,ALL,SL,38,25.9,88.5,0.41,0.4,0.452,"14,11"
R,BEHIND,ALL,ST,18,12.2,81.7,1.01,-0.13,0.087,"14,6"
R,ALL,ON,CH,17,8.9,85.1,-0.37,0.5,0.52,"14,11"
R,ALL,ON,CU,9,4.7,78.4,0.77,-0.7,0.922,"14,11"
R,ALL,ON,FF,34,17.8,94.9,-0.3,1.02,0.625,"11,5"
R,ALL,ON,SI,39,20.4,94.4,-0.96,0.65,0.474,"14,11"
R,ALL,ON,SL,52,27.2,88.6,0.41,0.43,0.278,"14,11"
R,ALL,ON,ST,40,21.0,82.5,1.04,-0.16,0.183,"14,11"
R,ALL,EMPTY,CH,12,4.2,85.7,-0.4,0.59,0.248,"14,11"
R,ALL,EMPTY,CU,19,6.6,79.6,0.69,-0.69,0.155,"14,12"
R,ALL,EMPTY,FF,67,23.3,94.9,-0.31,1.02,0.335,"11,14"
R,ALL,EMPTY,SI,64,22.2,94.5,-1.0,0.64,0.233,"11,5"
R,ALL,EMPTY,SL,77,26.7,88.9,0.41,0.42,0.242,"14,6"
R,ALL,EMPTY,ST,49,17.0,82.7,1.09,-0.18,0.312,"14,6"
