game_date,pitch_type,release_speed,pfx_x,pfx_z,description,zone,stand,balls,strikes,on_base_any
2026-06-11,FF,94.8,-0.62,1.01,called_strike,7,L,0,0,0
2026-06-11,CH,85.2,-0.34,0.63,hit_into_play,13,L,0,1,0
2026-06-11,SL,90.3,0.27,0.44,called_strike,5,R,0,0,0
2026-06-11,FF,95.3,-0.29,0.96,ball,12,R,0,1,0
2026-06-11,SI,95.6,-0.93,0.55,foul,8,R,1,1,0
2026-06-11,CU,81.6,0.43,-0.49,ball,14,R,1,2,0
2026-06-11,SL,91.4,0.38,0.58,ball,14,R,2,2,0
2026-06-11,FF,96.5,-0.2,1.19,swinging_strike,11,R,3,2,0
2026-06-11,FF,95.8,-0.36,1.24,ball,14,L,0,0,0
2026-06-11,CU,79.3,0.29,-0.54,ball,11,L,1,0,0
2026-06-11,FF,95.2,-0.41,0.83,hit_into_play,5,L,2,0,0
2026-06-11,FF,94.5,-0.47,0.9,ball,13,L,0,0,0
2026-06-11,FF,94.5,-0.5,0.97,hit_into_play,8,L,1,0,0
2026-06-11,SL,89.6,0.83,0.47,swinging_strike,14,R,0,0,0
2026-06-11,SI,94.8,-0.76,0.6,foul,4,R,0,1,0
2026-06-11,FF,95.8,-0.07,0.79,swinging_strike,3,R,0,2,0
2026-06-11,CU,80.1,0.78,-0.71,ball,14,R,0,0,0
2026-06-11,FF,95.3,-0.17,0.87,ball,11,R,1,0,0
2026-06-11,SL,89.7,0.33,0.23,swinging_strike,9,R,2,0,0
2026-06-11,SL,90.0,0.36,0.41,swinging_strike,14,R,2,1,0
2026-06-11,FF,96.3,-0.38,0.87,ball,11,R,2,2,0
2026-06-11,ST,82.2,1.15,-0.27,hit_into_play,14,R,3,2,0
2026-06-11,FF,94.4,-0.25,1.1,ball,11,L,0,0,0
2026-06-11,SL,89.2,0.33,0.44,foul,1,L,1,0,0
2026-06-11,CH,85.5,-0.23,0.54,hit_into_play,4,L,1,1,0
2026-06-11,SI,95.6,-1.01,0.31,foul,4,R,0,0,0
2026-06-11,FF,95.0,-0.59,0.92,foul,2,R,0,1,0
2026-06-11,ST,82.7,1.34,-0.5,hit_into_play,6,R,0,2,0
2026-06-11,SL,88.2,0.4,0.15,ball,12,R,0,0,0
2026-06-11,FF,95.5,-0.17,0.88,hit_into_play,5,R,1,0,0
2026-06-11,SL,89.1,0.19,0.47,ball,11,L,0,0,0
2026-06-11,SL,89.2,0.27,0.4,foul,12,L,1,0,0
2026-06-11,SL,90.5,0.44,0.42,hit_into_play,6,L,1,1,0
2026-06-11,ST,80.0,1.09,-0.56,ball,11,R,0,0,1
2026-06-11,FF,94.0,-0.08,0.9,foul,1,R,1,0,1
2026-06-11,SL,88.3,0.32,0.21,hit_into_play,5,R,1,1,1
2026-06-11,ST,81.3,0.94,-0.25,called_strike,8,L,0,0,1
2026-06-11,CH,84.1,-0.14,0.45,ball,11,L,0,1,1
2026-06-11,SL,88.7,0.6,0.31,ball,12,L,1,1,1
2026-06-11,FF,94.3,-0.13,0.95,foul,2,L,2,1,1
2026-06-11,CU,80.9,0.77,-0.63,hit_into_play,5,L,2,2,1
2026-06-11,CH,85.3,-0.36,0.46,ball,13,L,0,0,1
2026-06-11,FF,94.5,0.0,0.86,ball,9,L,1,0,1
